SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 09-Jan-2023,117,121.15,121.15,117,117,117,119.08,200,0.24,2,100,50
20MICRONS, EQ, 09-Jan-2023,90.05,90.9,93.35,90.1,90.5,90.6,91.57,100004,91.57,1564,48472,48.47
21STCENMGM, EQ, 09-Jan-2023,22.25,22.05,22.65,22.05,22.6,22.25,22.3,2503,0.56,53,2034,81.26
3IINFOLTD, EQ, 09-Jan-2023,41.1,41.5,41.6,41,41.15,41.05,41.3,249472,103.02,1789,139387,55.87
3MINDIA, EQ, 09-Jan-2023,22294.4,22375,22843.15,22375,22712,22762.05,22623.81,2102,475.55,1225,1126,53.57
3PLAND, EQ, 09-Jan-2023,25.05,26.4,27.55,26.05,27.55,27.55,27.2,483313,131.48,2564,206487,42.72
4THDIM, BE, 09-Jan-2023,118.75,119.2,120,118.2,119.25,119.2,119.06,9271,11.04,74, -, -
515GS2025, GS, 09-Jan-2023,95.85,96,96.25,96,96.25,96.25,96.14,13600,13.08,4,7800,57.35
563GS2026, GS, 09-Jan-2023,95.95,95.95,96.2,95.95,96.2,96.2,96.01,2000,1.92,3,2000,100
5PAISA, EQ, 09-Jan-2023,312.3,317,318,314,317,315.5,316.22,29311,92.69,1697,13703,46.75
63MOONS, EQ, 09-Jan-2023,163.8,164,171.25,163.55,168.7,168.25,167.39,86498,144.79,2884,39321,45.46
654GS2032, GS, 09-Jan-2023,100,95.1,100,95.1,100,100,98.42,127,0.12,4,86,67.72
667GS2050, GS, 09-Jan-2023,92.42,92.8,94,92.46,92.46,92.46,92.8,1013,0.94,7,1013,100
669GS2024, GS, 09-Jan-2023,101.15,101.99,101.99,101.99,101.99,101.99,101.99,70,0.07,1,70,100
676GS2061, GS, 09-Jan-2023,97.5,97.49,97.49,97.49,97.49,97.49,97.49,40,0.04,1,40,100
695GS2061, GS, 09-Jan-2023,94.5,96,96,95.9,95.9,95.9,96,3001,2.88,4,3001,100
699GS2051, GS, 09-Jan-2023,96.5,96,96.99,95.95,95.95,95.97,96.12,7511,7.22,8,7511,100
710GS2029, GS, 09-Jan-2023,100.95,100.95,100.95,100.95,100.95,100.95,100.95,200,0.2,1,200,100
726GS2032, GS, 09-Jan-2023,102.75,102.5,102.5,102,102,102,102.5,2510,2.57,5,2510,100
727GS2026, GS, 09-Jan-2023,101.92,101.72,101.72,101.72,101.72,101.72,101.72,1800,1.83,2,1800,100
736GS2052, GS, 09-Jan-2023,101.8,101.99,101.99,101.4,101.5,101.62,101.65,8000,8.13,5,8000,100
738GS2027, GS, 09-Jan-2023,102.94,102,103,101.8,101.8,101.98,102,68500,69.87,23,68500,100
741GS2036, GS, 09-Jan-2023,101.03,101,101,101,101,101,101,500,0.51,1,500,100
754GS2036, GS, 09-Jan-2023,102.4,102.48,102.49,102.4,102.4,102.47,102.48,58452,59.9,32,58452,100
768GS2023, GS, 09-Jan-2023,101.04,101.09,101.09,101.09,101.09,101.09,101.09,500000,505.45,5,500000,100
824GS2027, GS, 09-Jan-2023,106.15,107,107,107,107,107,107,210,0.22,2,210,100
824GS2033, GS, 09-Jan-2023,110,111,111,111,111,111,111,55,0.06,1,55,100
897GS2030, GS, 09-Jan-2023,111,112,112,111,111,111,111.38,6505,7.25,9,6505,100
A2ZINFRA, EQ, 09-Jan-2023,9.9,9.95,10.75,9.95,10.15,10.15,10.42,645949,67.33,1242,298626,46.23
AAATECH, EQ, 09-Jan-2023,63.3,66.5,66.5,62.5,63,63,64.16,6187,3.97,153,1851,29.92
AAKASH, EQ, 09-Jan-2023,6.7,6.8,6.8,6.55,6.65,6.65,6.68,220941,14.75,650,171714,77.72
AAREYDRUGS, EQ, 09-Jan-2023,38.3,39.2,39.2,38.2,38.5,38.45,38.45,15204,5.85,304,10050,66.1
AARON, EQ, 09-Jan-2023,170.95,174.4,174.4,170,170.6,170.7,171.13,1761,3.01,129,1004,57.01
